"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],155,20,139.8196344015306,241.58700234997445,226.87096493365055,133.51111024997132,192.0480431554168,154.26701497175162
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],150,20,140.6353500523906,254.43635540480003,226.6153764570614,138.64371118658713,200.3319780954601,160.0467059916019
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],145,20,137.3987543487378,261.3361420329221,238.54203339117765,140.39376788125793,201.13610144677307,155.75518911715253
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],140,20,138.81369908603335,261.2786266218042,231.41317050689918,138.86516099251722,204.17909739926046,169.18129995766256
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],135,20,143.44694612513578,261.56216483697216,246.74556051615173,136.220903336079,204.60309861245264,171.82249029753686
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],130,20,148.10536323916546,259.04821213339005,248.64685033769214,131.38535237751046,204.67631035973534,171.3048617819238
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],125,20,144.97817511636904,252.7654858450095,218.8490634313582,125.55601416533767,204.6332187332195,170.80510491490918
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],155,25,139.89852486008718,239.94479351750562,225.86817352072927,137.71458704324417,201.3588069199959,150.27899727477453
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],150,25,140.42255603034596,244.67881621421623,230.9639728150681,140.3197776078033,202.23403962190528,159.74045338533503
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],145,25,136.12293637988,259.2327243952908,232.56727433414414,140.93992317223461,197.67131689451728,158.3511299655975
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],140,25,142.67878815300477,261.29574462000267,230.55214930693012,140.26448909527585,208.68881505500994,165.00693917495224
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],135,25,148.11914365580404,260.9350464384468,230.13828712536593,138.46058335796278,204.74229514456374,168.6581566058722
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],130,25,147.17963037208003,257.60433405851165,227.76910179876515,133.55288017032757,204.49772522157656,168.61590919308486
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],155,30,135.42597027100607,241.91620279847328,224.3608636796922,137.78907594322158,200.14269685799675,148.0162599764988
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],150,30,136.81732882313133,248.37723424468703,226.98777900281473,139.9418087153706,207.13216520153094,157.3079953155595
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],145,30,138.74823006388013,258.5393450979123,230.28784534631157,140.36941968495623,203.7275734398071,154.46102728367657
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],140,30,143.69843482395328,260.33661015472694,229.66790623131843,140.6181375022784,196.5708535658136,154.61601320527066
STORAGE60.0[GWh]GENERATER SPECS0.110[GW],135,30,148.37842320564513,257.2544184911669,229.0927334428079,138.45053497314547,205.59764078654817,164.5091607698421
