"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],155,20,139.10182048357206,239.3692020088253,221.7158171697945,131.9583479766925,199.27536407351764,157.180554719736
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],150,20,146.5183713535367,249.33432475142706,227.6207394882051,134.3544631448758,200.6712412269015,162.44021156388433
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],145,20,151.30497739250495,269.0249700517692,232.41957650678722,134.48311031446505,203.5861416473967,156.4557108388833
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],140,20,153.44566244600804,271.4846789371278,236.81238095248932,132.7078443186238,207.1101978550005,160.79719600971387
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],135,20,153.97429506533376,252.19381467216004,233.73412023514334,131.9767138299802,204.23907733424863,165.35665882696375
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],130,20,154.68624858896564,250.75830145409702,240.0758828818703,129.63165999894917,204.6176951456337,164.3047932516618
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],125,20,151.94115552504286,243.5679211740344,232.5182489059669,124.38008612617709,203.6036525175952,162.94704567035907
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],155,25,139.3632427707912,243.004106248562,221.77088629663578,125.97926387330106,202.00817879220887,157.86697905154125
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],150,25,148.77740185245335,254.95793748056195,221.1126564644602,126.94110159354857,204.17556529675366,161.2351327301482
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],145,25,152.46173313446565,270.9658444759206,231.85431389084707,131.28620347033254,200.09859363457122,159.08786081227345
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],140,25,153.83509310411281,274.74524431713394,242.7835379468363,128.37331830599416,210.89450866225772,162.51225966023642
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],135,25,153.91796824811308,273.5590678799113,231.51737422249596,133.11295709722353,207.56389171787183,162.26615562089344
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],130,25,153.94828403720334,249.5447536246703,234.49225066430327,131.21989745818559,203.4758301682885,161.34681772398199
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],155,30,139.39683200994267,245.51464958136538,217.29360803520123,127.77773902466436,202.67926580695178,151.39416433174364
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],150,30,148.14376679075846,254.80439782544872,213.28093735893214,127.97900797177718,208.4236049258399,157.46987274561727
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],145,30,151.91165834548707,267.0071090450171,227.01969799241144,133.2069437511896,206.82035186580586,154.78643698909474
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],140,30,153.22036374615743,271.92042008849637,235.31006706203675,129.9263565734054,205.0111448019215,156.09462458775084
STORAGE50.0[GWh]GENERATER SPECS0.110[GW],135,30,153.24912161300207,270.10459172978324,228.21446243623507,133.9755468193105,207.2802182704293,158.69618218170285
