"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],155,20,134.48887717889068,251.37289244827562,245.5254904523833,123.45873340639521,190.09316502130994,165.23745715333712
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],150,20,147.9124183374612,257.2659887046551,248.45096546387487,124.93647317888409,198.82648401254048,168.22373466556084
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],145,20,142.15788187638697,257.0078857589987,248.63171016901214,125.10320992378863,199.3903395108932,170.18017470822954
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],140,20,142.92829782264369,260.04164175660287,248.13542185675882,122.29515279968935,202.64350655435518,177.2444090539149
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],135,20,147.93583967664816,259.342530698772,247.0787572534063,118.93229387992673,203.15270235587974,171.58970878502817
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],130,20,150.86069353803904,259.21433924375003,245.7523227509184,113.84821372137719,203.2416746757762,165.6232726420988
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],125,20,147.68568394032476,253.6566220282493,249.9258796298914,106.62154205471617,203.40169096202501,163.49514608987684
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],155,25,134.44286945876883,253.13911982102923,246.11534690296105,127.81896287771481,197.4005304667471,160.3498508705598
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],150,25,137.68601594168584,259.6144368140183,248.33857514391065,126.79585915182302,200.3216745101391,163.78698711212047
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],145,25,140.9031683007666,263.09502273516506,248.55699977019424,125.35746507142721,195.77488465040193,166.5969431653868
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],140,25,144.9547919346001,263.3530191531419,247.8691077630245,124.28033205729618,207.2682257921842,171.3476168641886
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],135,25,152.3535025615064,262.04512216805153,251.36789874179064,120.37810600269792,203.32422302553508,172.19208835601432
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],130,25,151.22507012452644,258.42842864808495,250.47791508854812,116.10930974959662,203.03742914987376,162.43980030513734
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],155,30,133.76122582689692,252.3261616004003,246.59391927732145,129.06559898623985,197.70231260602029,158.6738468327705
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],150,30,136.77932074834305,258.4800991574921,247.17046544751565,127.42518606843225,203.954112279597,160.32344997510216
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],145,30,142.3658331806979,264.64592420513304,246.49106543324277,125.50400694548526,201.59131990541766,161.50889970114827
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],140,30,145.48439679448256,264.40790608723415,246.64465414186932,123.88735155582445,194.4603692415841,162.51056795055752
STORAGE80.0[GWh]GENERATER SPECS0.110[GW],135,30,151.7521075472247,261.4840696860352,250.41565942236443,120.85988679061455,203.96467402278083,163.7149633354918
