"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],155,20,126.40940515229923,210.4076619888446,199.97079671078305,106.90807584747256,176.72523808792815,150.12448677734156
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],150,20,133.80092240566148,232.01880080150687,200.39247716376,113.44387348278967,203.82404500071243,155.89542760385717
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],145,20,121.1222801451469,247.3390680462528,222.89720819102783,116.80120432033782,192.4426679854326,156.70939042530722
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],140,20,123.69489170402112,248.68261438643177,226.61203291388193,116.36870956639247,182.29060237462247,157.74579949222922
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],135,20,128.43520195710258,250.90100504063096,226.97479014513874,114.12446951751022,174.7353706844158,157.44913527274264
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],130,20,127.6912703066525,230.70111341028382,210.0089116443452,105.67847056539357,194.05978224036474,158.7149779323644
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],125,20,125.32947916569229,220.6966672485327,203.98577631991512,93.27487797411246,197.53941121601557,156.27565229995875
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],155,25,135.63063603671878,221.97486177908712,199.11132809217656,109.84984993890731,201.45890688804758,150.50119990935065
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],150,25,136.90330091419472,235.34222028587448,200.18817049111587,115.74281229001724,191.23786204194275,153.6743436302927
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],145,25,137.27244907760976,246.55259123498158,223.56238724088374,119.99722130023983,190.15671840506917,153.83043978655252
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],140,25,138.3743167834594,247.39308386640133,221.2165829457134,123.34716858377166,188.3995512320118,154.92678411240715
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],135,25,134.99116900349026,248.52666945612438,220.72711544807882,121.63498751183383,184.25769375383902,154.6322171885701
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],130,25,128.22419352388044,240.0369785924748,203.8633019549619,112.6631273362119,189.04204919912897,154.85884960791887
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],155,30,134.55320946035684,220.49954264574382,190.92740625906126,110.80935898582113,201.77396235616476,149.09845096752503
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],150,30,133.92615633817385,234.76374322073607,195.2870168400649,114.78591043870858,191.85191444547092,150.06749329904338
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],145,30,136.96286449492484,248.31638389927076,198.988206289451,118.46831963994828,191.492269361081,150.89804211810795
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],140,30,138.0663364928101,248.4007678077802,218.26813978522995,121.36688777765904,189.15532991065407,151.0272376062595
STORAGE30.0[GWh]GENERATER SPECS0.110[GW],135,30,133.86115640338926,244.4163934574921,202.18083915460053,120.45233474374092,186.29294918786982,150.7886093849094
