"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],155,20,76.06275784825009,134.22433919363203,117.29302368522819,58.82326976975241,115.02873709763035,93.92681043469632
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],150,20,88.98602465100961,137.7122761939652,141.1134934547598,56.36562653406962,123.3370081085673,102.34611466230243
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],145,20,89.20246322234821,139.86389754999988,149.65171227286828,71.39837957012912,133.02811182349282,106.2080043041055
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],140,20,90.43335123054412,157.38398664851,158.36978299813848,87.78921458375082,133.56558372438838,106.23458249595538
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],135,20,91.98972146343127,158.13521320367053,156.56177290759857,93.2138394261495,133.22158469314795,104.23560865933817
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],130,20,90.93196628706654,150.02837251088073,152.5215759711601,93.41272047325693,126.0066500716166,102.40213578786914
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],125,20,79.49120107466833,137.51622047393255,123.51465432423004,85.10275181280959,120.08626888940897,102.07816550863919
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],155,25,84.12707430550303,111.21208647968245,115.43566246767503,57.53058144027699,117.32808893328531,102.32726741196728
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],150,25,97.92632764092731,138.54618638054626,126.63470916025197,70.32992910358891,118.71478310005752,102.66667412723278
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],145,25,97.7519064195942,149.22747819853384,145.37549648015877,71.95797866692696,117.88711316425305,102.65117237991583
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],140,25,89.32509988958915,153.3075648191898,143.78718118296882,76.38693496676842,134.4450747166574,111.45343209139932
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],135,25,88.86953256959507,152.8798180777495,142.86315883873579,87.72650411018611,129.95051365731285,110.74174665064442
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],130,25,88.44642553014427,135.38895168618578,139.31387260244833,93.0821245074775,124.51446147925736,102.18674053739761
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],155,30,82.97278844147654,117.11875214171259,114.46337936135794,57.89751848806793,98.78929524348257,98.50805781870034
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],150,30,94.37219514157,135.69817596287274,114.66063277623685,69.32953195752314,113.95383379509315,102.13108096735932
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],145,30,89.12902417757067,132.2487570244892,128.6143112003901,68.50136304614313,119.4881961111176,114.14581749506105
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],140,30,89.29885953822652,142.61436905347793,138.76798773927433,79.63685762378442,122.33661607783948,116.0041275951623
STORAGE10.0[GWh]GENERATER SPECS0.110[GW],135,30,89.29336922464101,142.34406305304955,139.46832353450455,83.72945419599272,125.06248463005645,110.47246018309205
