"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],155,20,135.31141070982324,247.66957043709746,211.20838409907216,117.03458378088553,193.23282871614168,151.3171495233742
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],150,20,138.61507009857164,244.96403834493358,230.362419560764,118.23395116571682,205.22456597688375,148.29342179811476
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],145,20,138.64315537963574,253.92844542242543,239.18240750306566,118.51706321873048,207.50357332407148,165.7834810819859
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],140,20,142.4655001291734,256.6269805987188,234.0336087200703,116.67519116103729,202.8865553721155,172.3031827124934
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],135,20,144.1071406251132,254.8209667519446,231.68652893222531,115.68063134978023,207.22481977529722,171.95931668829
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],130,20,138.31389291577355,255.377833861507,230.92360786296643,121.35528507998815,207.4966968652775,166.1901485505166
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],125,20,133.39374402256223,249.17383989944466,213.51789796807583,117.42590538762006,213.18076246776428,163.5380900548466
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],155,25,135.6897765378922,243.51242192407375,211.00166109148918,118.40540042865285,198.61195834766713,150.73342433325038
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],150,25,137.0728811865077,251.38874263813878,219.74892358367697,118.64270708509665,201.9149627001389,150.8637805344919
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],145,25,138.45439344629523,259.4527532386808,235.67481522179526,118.5443717321606,194.31976770309933,163.58098504694993
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],140,25,142.54405766367827,258.84179102777216,232.52706687057116,119.17222214187969,205.23965784563237,171.80742677164193
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],135,25,152.47197086577924,257.99568901409543,230.70956612737513,114.40843644913687,201.79202055448633,175.6864106666969
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],130,25,147.3559460114772,255.65736324383334,227.68171493397566,115.36886504226031,214.71601415381852,169.9382646517401
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],155,30,135.91205078848643,244.23649460301988,210.11857752759258,117.74031079148016,196.94197336427777,149.03032252584012
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],150,30,134.82187691419932,250.73720274276533,226.60565183726902,118.35650475212393,204.23325475347875,141.64941407557873
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],145,30,140.06896683068408,261.8251030907135,235.19883785201222,121.57282432047067,204.53330034078866,156.56685791936724
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],140,30,144.70325319809143,261.2960432089175,229.4365523339705,122.47802387264429,200.7515864531528,163.7987488083889
STORAGE40.0[GWh]GENERATER SPECS0.110[GW],135,30,149.45768742146532,258.93986026119046,226.2993093448352,119.93094738204225,210.3335702202322,171.94378770179256
