unixtime,datetime,TARGET LOCATION,TARGET LAT,TARGET LON,TARGET DISTANCE[km],TARGET TYPHOON,TARGET TY LAT,TARGET TY LON,TPGSHIP LAT,TPGSHIP LON,TPG_TY DISTANCE[km],BRANCH CONDITION,TPGSHIP STATUS,SHIP SPEED[kt],TIMESTEP POWER GENERATION[Wh],TOTAL GENE TIME[h],TOTAL POWER GENERATION[Wh],TIMESTEP POWER CONSUMPTION[Wh],TOTAL CONS TIME[h],TOTAL POWER CONSUMPTION[Wh],ONBOARD POWER STORAGE PER[%],ONBOARD POWER STORAGE STATUS,ONBOARD ENERGY STORAGE[Wh],YEARLY POWER GENERATION BALANCE
1514764800,2018-01-01T00:00:00.000000+0000,base station,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0,,start forecast,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1514786400,2018-01-01T06:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1514808000,2018-01-01T12:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1514829600,2018-01-01T18:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1514851200,2018-01-02T00:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1514872800,2018-01-02T06:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1514894400,2018-01-02T12:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1514916000,2018-01-02T18:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1514937600,2018-01-03T00:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1514959200,2018-01-03T06:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1514980800,2018-01-03T12:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515002400,2018-01-03T18:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515024000,2018-01-04T00:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515045600,2018-01-04T06:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515067200,2018-01-04T12:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515088800,2018-01-04T18:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515110400,2018-01-05T00:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515132000,2018-01-05T06:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515153600,2018-01-05T12:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515175200,2018-01-05T18:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515196800,2018-01-06T00:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515218400,2018-01-06T06:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
1515240000,2018-01-06T12:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,7000000000.0,0.0
