YEAR,MODEL[GWh],BASE[GWh],E[GWh],W[GWh],S[GWh],N[GWh]
2017,143.0276786276578,141.64741142435594,139.47131909711007,142.3133980543363,141.96444891466584,140.59307186111417
2018,238.8233673052499,238.34335440998098,236.86079004876697,238.6177275703826,238.63433262656412,236.43600482358335
2019,228.76590297469062,228.8451695717673,227.31319438580658,228.7754947959553,229.05496130642248,226.9778678819184
2020,139.4182713210156,138.89252662704445,137.09501457729985,139.38068771791527,139.2315080014141,137.91495165038984
2021,199.17091543319017,198.61863232660485,195.80954083427375,198.62145220627806,199.0751614964717,194.7771942056986
2022,160.70761214039035,152.10522145430494,156.3949425735151,152.7112706187649,152.23553196750998,157.27362472565687
