îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§
2023,4,19,0,2301,SANVU,2,3.5,159.6,1008,0,0,0,0,0,0,0,0
2023,4,19,6,2301,SANVU,2,4.3,159.1,1004,0,0,0,0,0,0,0,0
2023,4,19,12,2301,SANVU,2,5.3,158.7,1008,0,0,0,0,0,0,0,0
2023,4,19,18,2301,SANVU,2,6.9,158.0,1004,0,0,0,0,0,0,0,0
2023,4,20,0,2301,SANVU,2,8.1,157.8,1006,0,0,0,0,0,0,0,0
2023,4,20,6,2301,SANVU,2,9.1,157.1,1002,0,0,0,0,0,0,0,0
2023,4,20,12,2301,SANVU,3,9.6,156.6,1000,35,0,0,0,1,120,90,0
2023,4,20,18,2301,SANVU,3,9.9,156.3,998,40,0,0,0,1,120,90,0
2023,4,21,0,2301,SANVU,3,10.1,156.0,998,40,0,0,0,1,120,90,0
2023,4,21,6,2301,SANVU,3,10.3,155.7,996,45,0,0,0,1,120,90,0
2023,4,21,12,2301,SANVU,3,10.4,155.3,1000,40,0,0,0,1,120,90,0
2023,4,21,18,2301,SANVU,3,10.4,154.5,1002,35,0,0,0,1,120,90,0
2023,4,22,0,2301,SANVU,2,10.3,153.8,1006,0,0,0,0,0,0,0,0
2023,4,22,6,2301,SANVU,2,10.3,153.1,1004,0,0,0,0,0,0,0,0
2023,5,19,18,2302,MAWAR,2,6.1,149.6,1004,0,0,0,0,0,0,0,0
2023,5,20,0,2302,MAWAR,2,6.1,149.4,1004,0,0,0,0,0,0,0,0
2023,5,20,6,2302,MAWAR,2,6.1,149.2,1004,0,0,0,0,0,0,0,0
2023,5,20,12,2302,MAWAR,3,6.2,149.1,1000,35,0,0,0,9,180,180,0
2023,5,20,18,2302,MAWAR,3,6.6,149.0,994,45,0,0,0,9,180,180,0
2023,5,21,0,2302,MAWAR,4,7.0,148.7,992,50,0,0,0,9,180,180,0
2023,5,21,6,2302,MAWAR,4,7.3,148.4,992,50,0,0,0,9,180,180,0
2023,5,21,12,2302,MAWAR,4,7.6,147.9,990,55,9,20,20,9,180,180,0
2023,5,21,18,2302,MAWAR,5,7.9,147.6,980,65,9,20,20,9,180,180,0
2023,5,22,0,2302,MAWAR,5,8.6,147.3,980,65,9,30,30,9,180,180,0
2023,5,22,6,2302,MAWAR,5,9.2,147.1,975,70,9,30,30,9,180,180,0
2023,5,22,12,2302,MAWAR,5,9.8,146.9,970,75,9,30,30,9,180,180,0
2023,5,22,18,2302,MAWAR,5,10.5,146.9,940,95,9,65,65,9,180,180,0
2023,5,23,0,2302,MAWAR,5,11.2,146.9,940,95,9,65,65,9,180,180,0
2023,5,23,6,2302,MAWAR,5,11.8,146.5,920,105,9,80,80,9,180,180,0
2023,5,23,12,2302,MAWAR,5,12.2,146.0,920,105,9,80,80,9,180,180,0
2023,5,23,18,2302,MAWAR,5,12.5,145.7,920,105,9,80,80,9,180,180,0
2023,5,24,0,2302,MAWAR,5,13.1,145.5,935,95,9,80,80,1,180,150,0
2023,5,24,6,2302,MAWAR,5,13.6,145.2,935,95,9,80,80,1,180,150,0
2023,5,24,12,2302,MAWAR,5,13.8,144.7,935,95,9,80,80,1,180,150,0
2023,5,24,18,2302,MAWAR,5,14.1,144.1,935,95,9,80,80,1,180,150,0
2023,5,25,0,2302,MAWAR,5,14.2,143.5,925,100,9,90,90,1,240,180,0
2023,5,25,6,2302,MAWAR,5,14.6,142.8,905,110,9,100,100,1,240,180,0
2023,5,25,12,2302,MAWAR,5,14.8,141.5,900,115,9,100,100,1,270,180,0
2023,5,25,18,2302,MAWAR,5,14.9,140.4,900,115,9,100,100,1,270,180,0
2023,5,26,0,2302,MAWAR,5,15.1,139.2,900,115,9,100,100,1,270,240,0
2023,5,26,6,2302,MAWAR,5,15.4,137.9,900,115,9,100,100,1,270,240,0
2023,5,26,12,2302,MAWAR,5,15.7,136.5,900,115,9,100,100,1,300,240,0
2023,5,26,18,2302,MAWAR,5,16.0,134.9,900,115,9,100,100,1,300,240,0
2023,5,27,0,2302,MAWAR,5,16.4,133.5,910,105,1,120,100,1,375,300,0
2023,5,27,6,2302,MAWAR,5,16.6,132.2,925,95,1,130,90,1,375,300,0
2023,5,27,12,2302,MAWAR,5,16.8,130.9,945,85,1,130,90,1,375,300,0
2023,5,27,18,2302,MAWAR,5,17.1,129.7,945,85,1,130,90,1,375,300,0
2023,5,28,0,2302,MAWAR,5,17.2,128.7,945,85,1,130,90,1,425,325,0
2023,5,28,6,2302,MAWAR,5,17.6,127.9,945,85,1,120,80,1,425,325,0
2023,5,28,12,2302,MAWAR,5,18.0,127.4,945,85,2,120,80,2,425,325,0
2023,5,28,18,2302,MAWAR,5,18.6,126.7,945,85,2,120,80,2,425,325,0
2023,5,29,0,2302,MAWAR,5,19.0,126.2,945,85,2,120,80,2,425,300,0
2023,5,29,6,2302,MAWAR,5,19.4,125.8,945,85,2,120,80,2,425,300,0
2023,5,29,12,2302,MAWAR,5,19.7,125.6,945,85,3,120,80,3,400,300,0
2023,5,29,18,2302,MAWAR,5,20.1,125.4,945,85,3,120,80,3,400,300,0
2023,5,30,0,2302,MAWAR,5,20.3,125.1,950,80,3,120,80,3,400,270,0
2023,5,30,6,2302,MAWAR,5,20.6,125.0,950,80,3,120,80,3,400,270,0
2023,5,30,12,2302,MAWAR,5,20.8,125.0,955,70,3,100,70,3,375,240,0
2023,5,30,18,2302,MAWAR,5,21.2,125.0,955,70,3,100,70,3,375,240,0
2023,5,31,0,2302,MAWAR,5,21.4,125.1,955,70,3,100,70,3,375,240,0
2023,5,31,6,2302,MAWAR,5,22.2,125.3,960,65,3,100,70,3,375,240,0
2023,5,31,9,2302,MAWAR,5,22.5,125.4,960,65,3,100,70,3,375,240,0
2023,5,31,12,2302,MAWAR,5,22.7,125.4,960,65,3,100,60,3,375,240,0
2023,5,31,15,2302,MAWAR,5,23.0,125.5,960,65,3,100,60,3,375,240,0
2023,5,31,18,2302,MAWAR,4,23.6,125.6,965,60,2,90,60,3,375,240,0
2023,5,31,21,2302,MAWAR,4,23.8,125.7,965,60,2,90,60,3,375,240,0
2023,6,1,0,2302,MAWAR,4,24.1,125.8,970,50,0,0,0,3,350,240,0
2023,6,1,3,2302,MAWAR,4,24.6,126.0,970,50,0,0,0,3,350,240,0
2023,6,1,6,2302,MAWAR,4,24.9,126.1,970,50,0,0,0,3,350,240,0
2023,6,1,9,2302,MAWAR,4,25.4,126.6,970,50,0,0,0,3,350,240,0
2023,6,1,12,2302,MAWAR,4,25.9,127.1,970,50,0,0,0,2,325,240,0
2023,6,1,15,2302,MAWAR,4,26.4,127.6,970,50,0,0,0,2,325,240,0
2023,6,1,18,2302,MAWAR,4,26.9,128.1,970,50,0,0,0,2,325,240,0
2023,6,1,21,2302,MAWAR,4,27.2,128.8,970,50,0,0,0,2,325,240,0
2023,6,2,0,2302,MAWAR,3,27.4,129.4,975,45,0,0,0,3,325,210,0
2023,6,2,6,2302,MAWAR,3,28.2,131.0,975,45,0,0,0,3,325,210,0
2023,6,2,12,2302,MAWAR,3,28.9,132.8,980,45,0,0,0,3,300,210,0
2023,6,2,18,2302,MAWAR,3,29.7,135.2,980,45,0,0,0,3,300,210,0
2023,6,3,0,2302,MAWAR,6,30.6,137.8,984,0,0,0,0,0,0,0,0
2023,6,3,6,2302,MAWAR,6,32.4,140.8,990,0,0,0,0,0,0,0,0
2023,6,3,12,2302,MAWAR,6,33.7,144.7,996,0,0,0,0,0,0,0,0
2023,6,6,0,2303,GUCHOL,2,12.8,135.0,1004,0,0,0,0,0,0,0,0
2023,6,6,6,2303,GUCHOL,2,13.1,135.1,1002,0,0,0,0,0,0,0,0
2023,6,6,12,2303,GUCHOL,3,13.6,135.1,1000,35,0,0,0,2,180,120,0
2023,6,6,18,2303,GUCHOL,3,14.1,134.9,1000,35,0,0,0,2,180,120,0
2023,6,7,0,2303,GUCHOL,3,14.7,134.3,998,40,0,0,0,2,180,120,0
2023,6,7,6,2303,GUCHOL,3,15.0,133.8,996,40,0,0,0,2,180,120,0
