îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§
2022,4,6,6,2201,MALAKAS,2,3.4,150.2,1004,0,0,0,0,0,0,0,0
2022,4,6,12,2201,MALAKAS,2,3.5,149.6,1006,0,0,0,0,0,0,0,0
2022,4,6,18,2201,MALAKAS,2,3.5,149.1,1004,0,0,0,0,0,0,0,0
2022,4,7,0,2201,MALAKAS,2,3.8,148.4,1006,0,0,0,0,0,0,0,0
2022,4,7,6,2201,MALAKAS,2,4.0,147.7,1004,0,0,0,0,0,0,0,0
2022,4,7,12,2201,MALAKAS,2,4.1,147.1,1004,0,0,0,0,0,0,0,0
2022,4,7,18,2201,MALAKAS,2,4.5,146.3,1002,0,0,0,0,0,0,0,0
2022,4,8,0,2201,MALAKAS,3,5.1,145.9,1000,35,0,0,0,9,180,180,0
2022,4,8,6,2201,MALAKAS,3,5.6,145.7,998,35,0,0,0,9,180,180,0
2022,4,8,12,2201,MALAKAS,3,6.4,145.2,998,35,0,0,0,9,180,180,0
2022,4,8,18,2201,MALAKAS,3,6.7,144.9,996,40,0,0,0,8,240,200,0
2022,4,9,0,2201,MALAKAS,3,7.1,144.6,996,40,0,0,0,8,240,200,0
2022,4,9,6,2201,MALAKAS,3,7.5,143.6,996,40,0,0,0,8,240,200,0
2022,4,9,12,2201,MALAKAS,3,8.2,142.4,996,40,0,0,0,8,240,200,0
2022,4,9,18,2201,MALAKAS,3,9.4,141.2,996,40,0,0,0,8,240,200,0
2022,4,10,0,2201,MALAKAS,3,10.6,139.6,994,45,0,0,0,8,300,240,0
2022,4,10,6,2201,MALAKAS,3,11.1,138.6,992,45,0,0,0,8,300,240,0
2022,4,10,12,2201,MALAKAS,4,11.5,138.0,990,50,0,0,0,1,325,270,0
2022,4,10,18,2201,MALAKAS,4,11.8,137.1,990,50,0,0,0,1,325,270,0
2022,4,11,0,2201,MALAKAS,4,12.2,136.4,990,50,0,0,0,1,325,270,0
2022,4,11,6,2201,MALAKAS,4,13.1,136.2,990,50,0,0,0,1,325,270,0
2022,4,11,12,2201,MALAKAS,4,14.1,135.9,985,55,9,30,30,9,350,350,0
2022,4,11,18,2201,MALAKAS,4,14.8,135.6,980,60,9,40,40,9,350,350,0
2022,4,12,0,2201,MALAKAS,5,15.4,135.0,975,65,9,50,50,9,350,350,0
2022,4,12,6,2201,MALAKAS,5,15.8,135.1,970,70,9,55,55,9,350,350,0
2022,4,12,12,2201,MALAKAS,5,16.1,135.4,955,80,9,70,70,9,350,350,0
2022,4,12,18,2201,MALAKAS,5,16.7,135.9,955,80,9,70,70,9,350,350,0
2022,4,13,0,2201,MALAKAS,5,17.3,136.4,955,80,9,70,70,2,425,270,0
2022,4,13,6,2201,MALAKAS,5,17.8,137.0,950,85,9,80,80,2,425,270,0
2022,4,13,12,2201,MALAKAS,5,18.8,137.6,950,85,9,80,80,2,425,270,0
2022,4,13,18,2201,MALAKAS,5,19.8,137.5,945,90,9,90,90,2,425,240,0
2022,4,14,0,2201,MALAKAS,5,20.6,138.0,945,90,2,100,80,2,425,240,0
2022,4,14,6,2201,MALAKAS,5,21.7,138.5,945,90,2,100,80,2,500,240,0
2022,4,14,12,2201,MALAKAS,5,22.6,139.0,950,85,2,100,80,2,500,240,0
2022,4,14,15,2201,MALAKAS,5,23.2,139.5,950,85,2,100,80,2,500,240,0
2022,4,14,18,2201,MALAKAS,5,24.3,140.0,955,80,2,100,80,2,500,240,0
2022,4,14,21,2201,MALAKAS,5,25.3,140.3,955,80,2,100,80,2,500,240,0
2022,4,15,0,2201,MALAKAS,5,26.3,140.6,960,75,2,100,80,2,500,270,0
2022,4,15,3,2201,MALAKAS,5,27.1,141.1,965,70,2,100,80,2,500,270,0
2022,4,15,6,2201,MALAKAS,5,27.7,141.9,970,65,2,100,80,2,500,300,0
2022,4,15,9,2201,MALAKAS,5,29.3,142.6,970,65,2,100,80,2,500,300,0
2022,4,15,12,2201,MALAKAS,6,30.0,143.7,972,0,0,0,0,0,0,0,0
2022,4,15,18,2201,MALAKAS,6,32.0,146.0,972,0,0,0,0,0,0,0,0
2022,4,16,0,2201,MALAKAS,6,34.7,149.3,976,0,0,0,0,0,0,0,0
2022,4,16,6,2201,MALAKAS,6,37.8,152.1,976,0,0,0,0,0,0,0,0
2022,4,16,12,2201,MALAKAS,6,41.5,155.2,976,0,0,0,0,0,0,0,0
2022,4,16,18,2201,MALAKAS,6,44.9,158.7,972,0,0,0,0,0,0,0,0
2022,4,17,0,2201,MALAKAS,6,46.4,160.7,966,0,0,0,0,0,0,0,0
