unixtime,datetime,STORAGE[Wh],STORAGE PER[%],BRANCH CONDITION
1514764800,2018-01-01T00:00:00.000000+0000,0.0,0.0,while in storage
1514786400,2018-01-01T06:00:00.000000+0000,0.0,0.0,while in storage
1514808000,2018-01-01T12:00:00.000000+0000,0.0,0.0,while in storage
1514829600,2018-01-01T18:00:00.000000+0000,0.0,0.0,while in storage
1514851200,2018-01-02T00:00:00.000000+0000,0.0,0.0,while in storage
1514872800,2018-01-02T06:00:00.000000+0000,0.0,0.0,while in storage
1514894400,2018-01-02T12:00:00.000000+0000,0.0,0.0,while in storage
1514916000,2018-01-02T18:00:00.000000+0000,0.0,0.0,while in storage
1514937600,2018-01-03T00:00:00.000000+0000,0.0,0.0,while in storage
1514959200,2018-01-03T06:00:00.000000+0000,0.0,0.0,while in storage
1514980800,2018-01-03T12:00:00.000000+0000,0.0,0.0,while in storage
1515002400,2018-01-03T18:00:00.000000+0000,0.0,0.0,while in storage
1515024000,2018-01-04T00:00:00.000000+0000,0.0,0.0,while in storage
1515045600,2018-01-04T06:00:00.000000+0000,0.0,0.0,while in storage
1515067200,2018-01-04T12:00:00.000000+0000,0.0,0.0,while in storage
1515088800,2018-01-04T18:00:00.000000+0000,0.0,0.0,while in storage
1515110400,2018-01-05T00:00:00.000000+0000,0.0,0.0,while in storage
1515132000,2018-01-05T06:00:00.000000+0000,0.0,0.0,while in storage
1515153600,2018-01-05T12:00:00.000000+0000,0.0,0.0,while in storage
1515175200,2018-01-05T18:00:00.000000+0000,0.0,0.0,while in storage
1515196800,2018-01-06T00:00:00.000000+0000,0.0,0.0,while in storage
1515218400,2018-01-06T06:00:00.000000+0000,0.0,0.0,while in storage
1515240000,2018-01-06T12:00:00.000000+0000,0.0,0.0,while in storage
1515261600,2018-01-06T18:00:00.000000+0000,0.0,0.0,while in storage
1515283200,2018-01-07T00:00:00.000000+0000,0.0,0.0,while in storage
1515304800,2018-01-07T06:00:00.000000+0000,0.0,0.0,while in storage
1515326400,2018-01-07T12:00:00.000000+0000,0.0,0.0,while in storage
1515348000,2018-01-07T18:00:00.000000+0000,0.0,0.0,while in storage
1515369600,2018-01-08T00:00:00.000000+0000,0.0,0.0,while in storage
1515391200,2018-01-08T06:00:00.000000+0000,0.0,0.0,while in storage
1515412800,2018-01-08T12:00:00.000000+0000,0.0,0.0,while in storage
1515434400,2018-01-08T18:00:00.000000+0000,0.0,0.0,while in storage
