,Unnamed: 0,DATA NUMBER,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
0,0,0,2017,4,22,18,1701,MUIFA,2,8.6,143.9,1006,0,0,0,0,0,0,0,0,2017/4/22 18:00,1492884000
1,1,1,2017,4,23,0,1701,MUIFA,2,9.2,143.2,1006,0,0,0,0,0,0,0,0,2017/4/23 0:00,1492905600
2,2,2,2017,4,23,6,1701,MUIFA,2,9.9,142.4,1006,0,0,0,0,0,0,0,0,2017/4/23 6:00,1492927200
3,3,3,2017,4,23,12,1701,MUIFA,2,10.6,141.7,1006,0,0,0,0,0,0,0,0,2017/4/23 12:00,1492948800
4,4,4,2017,4,23,18,1701,MUIFA,2,11.2,140.8,1006,0,0,0,0,0,0,0,0,2017/4/23 18:00,1492970400
5,5,5,2017,4,24,0,1701,MUIFA,2,11.8,139.7,1006,0,0,0,0,0,0,0,0,2017/4/24 0:00,1492992000
6,6,6,2017,4,24,6,1701,MUIFA,2,12.1,138.8,1004,0,0,0,0,0,0,0,0,2017/4/24 6:00,1493013600
7,7,7,2017,4,24,12,1701,MUIFA,2,12.4,138.2,1004,0,0,0,0,0,0,0,0,2017/4/24 12:00,1493035200
8,8,8,2017,4,24,18,1701,MUIFA,2,12.5,137.5,1004,0,0,0,0,0,0,0,0,2017/4/24 18:00,1493056800
9,9,9,2017,4,25,0,1701,MUIFA,2,12.7,137,1004,0,0,0,0,0,0,0,0,2017/4/25 0:00,1493078400
10,10,10,2017,4,25,6,1701,MUIFA,2,12.8,136.6,1004,0,0,0,0,0,0,0,0,2017/4/25 6:00,1493100000
11,11,11,2017,4,25,12,1701,MUIFA,2,12.9,136.4,1004,0,0,0,0,0,0,0,0,2017/4/25 12:00,1493121600
12,12,12,2017,4,25,18,1701,MUIFA,3,13.1,136,1002,35,0,0,0,2,120,90,0,2017/4/25 18:00,1493143200
13,13,13,2017,4,26,0,1701,MUIFA,3,13.2,135.7,1002,35,0,0,0,2,120,90,0,2017/4/26 0:00,1493164800
14,14,14,2017,4,26,6,1701,MUIFA,3,13.6,134.8,1002,35,0,0,0,2,120,90,0,2017/4/26 6:00,1493186400
15,15,15,2017,4,26,12,1701,MUIFA,3,14,134.4,1002,35,0,0,0,2,120,90,0,2017/4/26 12:00,1493208000
16,16,16,2017,4,26,18,1701,MUIFA,3,14.4,134.4,1002,35,0,0,0,2,120,90,0,2017/4/26 18:00,1493229600
17,17,17,2017,4,27,0,1701,MUIFA,3,14.8,134.4,1002,35,0,0,0,2,120,90,0,2017/4/27 0:00,1493251200
18,18,18,2017,4,27,6,1701,MUIFA,2,15.9,134.7,1004,0,0,0,0,0,0,0,0,2017/4/27 6:00,1493272800
19,19,19,2017,4,27,12,1701,MUIFA,2,17,134.7,1006,0,0,0,0,0,0,0,0,2017/4/27 12:00,1493294400
20,20,20,2017,4,27,18,1701,MUIFA,2,17.8,134.8,1006,0,0,0,0,0,0,0,0,2017/4/27 18:00,1493316000
21,21,21,2017,4,28,0,1701,MUIFA,2,18.4,135.5,1008,0,0,0,0,0,0,0,0,2017/4/28 0:00,1493337600
22,22,22,2017,4,28,6,1701,MUIFA,2,19,136.3,1008,0,0,0,0,0,0,0,0,2017/4/28 6:00,1493359200
23,23,23,2017,4,28,12,1701,MUIFA,2,19.9,137.7,1008,0,0,0,0,0,0,0,0,2017/4/28 12:00,1493380800
24,24,24,2017,4,28,18,1701,MUIFA,2,20.8,139,1008,0,0,0,0,0,0,0,0,2017/4/28 18:00,1493402400
25,25,25,2017,4,29,0,1701,MUIFA,2,21.5,140.2,1008,0,0,0,0,0,0,0,0,2017/4/29 0:00,1493424000
26,26,26,2017,4,29,6,1701,MUIFA,2,22.7,141.8,1008,0,0,0,0,0,0,0,0,2017/4/29 6:00,1493445600
41,41,41,2017,7,1,6,1702,NANMADOL,2,15,132.2,1006,0,0,0,0,0,0,0,0,2017/7/1 6:00,1498888800
42,42,42,2017,7,1,12,1702,NANMADOL,2,16.8,130.5,1006,0,0,0,0,0,0,0,0,2017/7/1 12:00,1498910400
43,43,43,2017,7,1,18,1702,NANMADOL,2,18.8,128.9,1006,0,0,0,0,0,0,0,0,2017/7/1 18:00,1498932000
44,44,44,2017,7,2,0,1702,NANMADOL,3,20.7,127.1,1002,35,0,0,0,9,60,60,0,2017/7/2 0:00,1498953600
45,45,45,2017,7,2,6,1702,NANMADOL,3,21.9,125.7,1002,35,0,0,0,9,60,60,0,2017/7/2 6:00,1498975200
46,46,46,2017,7,2,12,1702,NANMADOL,3,23.5,124.8,998,40,0,0,0,9,60,60,0,2017/7/2 12:00,1498996800
56,56,63,2017,7,5,0,1702,NANMADOL,6,36.1,146,994,0,0,0,0,0,0,0,0,2017/7/5 0:00,1499212800
57,57,64,2017,7,5,6,1702,NANMADOL,6,36.9,150.7,994,0,0,0,0,0,0,0,0,2017/7/5 6:00,1499234400
