BASE LON,BASE LAT,STORAGE[GWh],2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
155,20,10.0,81.92550924725205,134.22433919363203,117.29635306136463,58.82326976975241,113.70393709763036,93.92681043469632
150,20,10.0,84.35585754871292,135.65512342274837,141.1134934547598,56.36562653406962,123.3370081085673,102.34611466230243
145,20,10.0,87.27680205169166,139.86389754999988,149.65171227286828,71.39837957012912,133.02811182349282,106.2080043041055
140,20,10.0,90.42310489469831,157.38398664851,158.36978299813848,87.78921458375082,133.56558372438838,106.23458249595538
135,20,10.0,90.11730048428221,158.13521320367053,156.56177290759857,93.2138394261495,133.22158469314795,102.24840865933817
130,20,10.0,88.94476628706654,150.02837251088073,152.5215759711601,93.41272047325693,126.0066500716166,102.40213578786914
125,20,10.0,78.19188050651837,137.51622047393255,123.51465432423004,85.10275181280959,120.08626888940897,102.07816550863919
155,25,10.0,81.89288040965037,111.21208647968245,115.43588047365883,57.53058144027699,117.32808893328531,102.32726741196728
150,25,10.0,95.99328795249835,138.54618638054626,126.63507277772084,70.32992910358891,118.71478310005752,102.66667412723278
145,25,10.0,95.79752673599266,149.22747819853384,145.37549648015877,71.95797866692696,117.88711316425305,102.65117237991583
140,25,10.0,87.37695027613985,153.3075648191898,143.8275011975037,76.38693496676842,140.53910894555338,111.45343209139932
135,25,10.0,86.90295118884634,152.8798180777495,142.86315883873579,87.72650411018611,129.95051365731285,110.74174665064442
130,25,10.0,86.45922553014427,135.38895168618578,139.31387260244833,93.0821245074775,124.51446147925736,102.18674053739761
155,30,10.0,81.3813812740256,117.11875214171259,114.46337936135794,57.899378939413296,96.60375088081756,98.50805781870034
150,30,10.0,92.38499514157,133.6780512967033,114.66063277623685,69.32953195752314,113.95383379509315,102.13108096735932
145,30,10.0,95.31110612924017,132.2487570244892,128.6143112003901,68.50136304614313,119.48832631612777,114.14581749506105
140,30,10.0,87.31165953822652,142.61436905347793,138.76798773927433,79.63685762378442,122.33661607783948,116.0041275951623
135,30,10.0,87.30616922464101,142.34406305304955,139.46832353450455,83.72945419599272,123.23140873255268,110.47246018309205
155,20,20.0,104.82579161563362,182.6457054215037,171.69434609599494,105.75715320144707,157.89323415770465,121.49690871619869
150,20,20.0,110.073039670388,203.10340151186244,193.31607098056114,110.94568219031447,169.92707795844223,131.33431151558045
145,20,20.0,112.83680960631077,218.38645674826668,198.42565892456182,103.00397219767007,171.97083026466228,133.49853007865926
140,20,20.0,115.46458981951027,230.41054728565408,200.43304984876997,105.00986643716618,173.20274486727064,138.4539089975752
135,20,20.0,123.58922430854439,235.09618220455067,197.89816870380537,110.29324006684591,176.28419169668672,137.9060516184296
130,20,20.0,119.85971794497533,230.73743065087234,194.11074943059097,112.80473064420252,171.93098899146386,137.83116157719607
125,20,20.0,113.49434933838913,205.93939517587793,176.18792319009918,111.72166756693689,169.994158472955,137.02295372371879
155,25,20.0,109.09199913952958,192.53424664942767,171.53683847484,97.92239818832302,159.48542457737125,127.6389653992587
150,25,20.0,119.92961608664383,204.53242576171988,193.50839357806845,97.93143435887893,174.21737492384392,134.03710732629355
145,25,20.0,126.39349100374096,209.79069692537524,192.90625879191214,105.82472666125351,174.31094616019953,133.82843630357118
140,25,20.0,120.06129010418853,222.04823330451256,185.55911194162354,107.10727091823487,175.73838668448326,141.25218507892063
135,25,20.0,127.72125196735516,227.21484225431809,185.38446215057925,105.52239168462047,182.49806179725664,141.49901183544856
130,25,20.0,127.61922296564319,224.3268625457385,176.62226068546855,102.64611722343456,169.17707410202362,136.82109446308488
155,30,20.0,108.5118862066553,184.69600736356574,159.3433464978591,97.54721593695346,161.95594973492686,122.26750359674288
150,30,20.0,118.61640020326445,202.7244836116628,181.903173935024,104.07562329568262,174.98509845853894,134.94766446613056
145,30,20.0,122.15419897116536,207.8202269157474,188.28387091182586,109.00003653361838,161.4004491139119,131.0697039113583
140,30,20.0,118.44352883866446,209.63646143492554,181.5325507323071,111.0751534410419,168.36433566317692,131.5217497575277
135,30,20.0,112.30088290041196,215.8107372999429,183.07205477585654,111.00714517195091,165.75536108228738,134.4648365588918
155,20,30.0,126.40940515229923,229.24390605495697,199.97079671078305,102.12852862326375,176.72523808792815,152.36367375700607
150,20,30.0,133.80092240566148,232.01880080150687,200.39247716376,113.44387348278967,203.82404500071243,155.89542760385717
145,20,30.0,121.1222801451469,247.3390680462528,222.89720819102783,116.80120432033782,192.4426679854326,156.70939042530722
140,20,30.0,123.69489170402112,248.68261438643177,226.09385046779116,116.36870956639247,182.29060237462247,157.9399770209425
135,20,30.0,128.00546958660487,250.90100504063096,226.97479014513874,114.12446951751022,174.7353706844158,157.66054851371874
130,20,30.0,127.72285077322414,230.70111341028382,210.0089116443452,105.67847056539357,194.05978224036474,158.17758432704235
125,20,30.0,125.36105963226393,220.6966672485327,203.98577631991512,93.27487797411246,197.53941121601557,156.3428126069157
155,25,30.0,135.63063603671878,221.97486177908712,199.11132809217656,109.84984993890731,201.45890688804758,150.50119990935065
150,25,30.0,136.90330091419472,235.34222028587448,200.18817049111587,115.74281229001724,191.23786204194275,153.6743436302927
145,25,30.0,137.27244907760976,246.55259123498158,223.56238724088374,119.99722130023983,190.15671840506917,154.09908101438026
140,25,30.0,138.3743167834594,247.39308386640133,221.2165829457134,123.34716858377166,188.3995512320118,155.1976044913641
135,25,30.0,134.99116900349026,248.52666945612438,220.72711544807882,121.63498751183383,184.25769375383902,155.0351790303117
130,25,30.0,128.22419352388044,240.0369785924748,203.8631354952233,112.6631273362119,175.28726780894505,155.1274908357466
155,30,30.0,134.55320946035684,220.49954264574382,190.92740625906126,110.80935898582113,201.77396235616476,149.09845096752503
150,30,30.0,133.92615633817385,234.76374322073607,195.2870168400649,114.78591043870858,191.85191444547092,150.06749329904338
145,30,30.0,136.96286449492484,248.31638389927076,198.6755624434559,118.46831963994828,191.492269361081,151.43532457376335
140,30,30.0,138.0663364928101,248.4007678077802,218.27113914259095,121.36688777765904,189.15532991065407,151.6988406758288
135,30,30.0,133.86115640338926,244.4163934574921,202.18067269486187,120.45233474374092,186.29294918786982,151.39305214752176
155,20,40.0,135.31141070982324,247.66957043709746,211.20838409907216,117.03458378088553,193.72903591439234,151.3171495233742
150,20,40.0,138.61507009857164,244.96403834493358,230.362419560764,118.23395116571682,205.72274745280274,148.29342179811476
145,20,40.0,138.803072406283,253.93005027163682,239.18240750306566,118.51706321873048,208.00437767087743,165.7834810819859
140,20,40.0,142.86529269579157,256.6269805987188,234.17469688070054,116.99502521433182,218.09703603797774,172.3031827124934
135,20,40.0,139.13682514137722,254.8209667519446,231.68652893222531,116.32029945636928,207.73263955916002,171.95931668829
130,20,40.0,138.79364399571534,255.377833861507,230.92360786296643,122.23482872654807,207.64612088181627,166.1901485505166
125,20,40.0,126.38951962357342,249.17383989944466,213.51789796807583,118.30544903417999,213.68420508656476,163.5380900548466
155,25,40.0,135.6897765378922,248.72828078067184,211.00166109148918,118.40540042865285,199.11229054428583,150.73342433325038
150,25,40.0,137.0728811865077,251.38874263813878,219.74892358367697,118.64270708509665,202.0665071664913,149.6181413420086
145,25,40.0,138.45439344629523,259.4542536524304,235.67481522179526,118.85721011816287,203.703472018672,163.58098504694993
140,25,40.0,142.6240161770019,258.8437923328067,232.52706687057116,119.33213916852694,216.48660775053617,171.80742677164193
135,25,40.0,152.6318878924265,257.99568901409543,230.70956612737513,114.80822901575502,217.00520492057134,175.6864106666969
130,25,40.0,147.51586303812442,255.65736324383334,227.68171493397566,115.8486161222021,215.2245594651651,169.9382646517401
155,30,40.0,135.91205078848643,244.23649460301988,210.11857752759258,117.74031079148016,197.4453779493458,149.03032252584012
150,30,40.0,134.82187691419932,250.73720274276533,226.60565183726902,118.35650475212393,204.73844406097393,141.64941407557873
145,30,40.0,140.06896683068408,261.8251030907135,235.19883785201222,121.57282432047067,205.040287403766,156.56685791936724
140,30,40.0,138.74165319809143,261.2960432089175,229.48166269755765,122.47802387264429,201.2600753027763,163.80241228755727
135,30,40.0,149.45768742146532,258.93986026119046,226.34441970842235,120.09086440868951,210.84272796971985,171.94378770179256
155,20,50.0,139.10182048357206,239.4054034448028,221.7158171697945,131.9583479766925,199.74878543948947,151.7288107397678
150,20,50.0,146.5183713535367,257.81596311297557,227.63274372921595,134.3544631448758,201.14692973154885,153.9899951414675
