YEAR,MODEL[GWh],BASE[GWh],E[GWh],W[GWh],S[GWh],N[GWh]
2017,144.85341261139126,143.41358140822263,142.21357255131815,144.00692400362666,143.69467893621177,142.61542633406458
2018,242.62172702398308,242.24851352538698,241.02778344034823,242.42633997496634,242.51219305942223,240.40896550364025
2019,222.76608635088826,223.9315625222146,234.9310431591364,222.77066338750117,224.11366350443726,233.84017782419184
2020,130.75027935682724,130.28128060950897,128.71120621139715,130.71552957406985,130.58183442185634,129.41309863178017
2021,210.63812237721427,210.85418307268432,208.24515156086585,210.1474589503787,210.55179655855534,206.99677869501056
2022,171.4104915656107,170.20159455350435,168.25632768166597,170.62144369854178,170.33999939151371,168.90618802271163
