"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,20,138.105457709473,226.184272994675,237.95190525492097,112.6976391944217,180.53814999741385,164.20420764595386
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,20,139.98568495842179,261.1729369685597,237.75085267650175,112.31517240855774,192.79331050038837,168.94759589703733
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,20,145.51604094345282,261.30718206877,237.5046991442244,112.84831443569445,196.16917221455685,166.8119260333726
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,20,149.35019392545118,260.8917029183919,238.12601878893665,117.16248598996614,199.2385438705359,169.155665427007
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,20,151.99641870097736,260.83955730065907,236.98768450045137,120.35478299958555,181.12853830491986,168.585467328349
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],130,20,152.76810578667607,237.46332314048553,224.7754987010199,120.60670727828804,180.19557837182106,163.67115599352348
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],125,20,136.04292100140927,225.0579264139097,215.64792428693931,112.570195019456,180.26841314104013,164.42159653289457
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,25,137.52091305073486,232.47423748248227,237.65774166198102,112.44036471008067,180.66229392182817,166.0799711431489
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,25,138.26964331914377,262.0229698460036,237.5232082470175,112.69327510115875,182.26033080558187,168.7326371848059
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,25,142.7465578048419,261.38156498931585,237.6497825406751,112.65885286170752,181.4643588644749,168.75718372918956
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,25,144.68656462805498,261.19984052850054,237.4203611921044,115.87521234817947,192.75346390426154,168.70882928173117
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,25,149.12062264522632,261.25901775604325,237.35073124467917,120.6867215345725,180.2078301898621,166.66786012092658
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],130,25,147.90943718150007,260.00892441488315,224.89131862402235,121.0113774673205,180.42754143438836,164.74889070552587
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,30,135.812838525926,225.01984850286019,237.86357635203535,112.47446052462706,179.90414792034608,165.34922490133678
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,30,135.3635021455097,238.84760428515386,237.89857523027086,112.23220498944075,180.55903547134258,166.5826196413973
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,30,139.35768528924285,260.777352861094,237.3994007342539,113.0334888306432,181.05982427152145,168.95177208697015
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,30,141.73776469988871,260.1404974706849,237.35042836514162,111.84094934282999,179.87801905075403,174.99305099451922
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,30,142.76201462290265,235.45136282279154,236.8324681458702,116.4840519717865,180.38389644551515,169.3964715083472
