STORAGE[GWh],JUDGE ENERGY STORAGE PER[%],YEARLY POWER GENERATION[GWh],2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
50.0,20,434.20079774361943,63.28937807392631,84.93594222868005,89.81644221343615,48.57724126670006,78.90050563169282,68.6812883291841
50.0,25,568.2239998359034,78.49170774014551,125.30536685465405,108.95771608532002,62.70786362879648,101.72296014989017,91.03838537709727
50.0,30,648.0903945632183,93.7062524568704,143.46235858581656,135.08438611003444,69.32720174387248,113.48337956241674,93.02681610420753
50.0,35,723.2487158281353,101.0936537238392,154.81066797382707,154.59578760317345,80.38831678869789,129.5094601779897,102.85082956060819
50.0,40,798.9524581533773,101.81595693954888,168.2408463889037,180.94463799874728,92.24526292683343,134.25131744667365,121.45443645267045
50.0,45,810.1701776547993,117.89167026444552,178.06872637608274,178.8662916003027,89.26144259645163,124.87570284798437,121.20634396953226
50.0,50,858.057803311728,111.7030874447491,183.1225764270256,183.06633957501205,101.45912280565554,142.29163307308252,136.41504398620324
50.0,55,895.134349675815,125.06856878062132,205.28088944978367,194.67129550777855,90.06874859521744,137.87955567369482,142.16529166871916
50.0,60,927.191805067248,124.78927127798543,203.04820042390625,214.49220520280375,102.03437572530557,150.29117158297467,132.5365808542725
50.0,65,956.1398581103656,135.21789971558755,207.03617615985792,195.6994799186535,111.11276708247507,162.4520322026225,144.62150303116923
50.0,70,1003.8756686746915,131.57955192994604,227.60771923685954,210.8814358833609,121.7383056730267,163.59370967411036,148.47494627738809
50.0,75,997.0987980952937,139.85547219102622,229.52634115556845,209.04006925889593,97.98337231029267,175.70608523609008,144.98745794342025
50.0,80,990.3515046620869,117.44400318645606,219.69571757239538,224.7579984461216,104.72465469060934,176.884853804155,146.84427696234948
50.0,85,1013.3296418912261,124.14388756162677,224.63028956914337,207.83084971214817,110.75537123996615,189.61194225089082,156.3573015574507
50.0,90,1035.7683539988598,131.70394827068822,237.51754456560735,214.1080001656442,113.34634393391148,184.19716690375967,154.89535015924875
50.0,95,1029.8545354880175,139.33253720362785,214.31485973936734,227.34059570098154,124.27961506147653,182.6238198132707,141.96310796929356
50.0,100,1057.2116273354436,144.1430309782503,225.74568301290313,226.7731995662023,129.55628917402294,181.2006110082469,149.79281359581793
60.0,20,486.4488760376751,64.22161700363696,103.10849892571146,102.48307254944754,50.711470031203504,83.8858098405415,82.03840768713422
60.0,25,620.0475722380232,92.50932087477337,139.55274240721164,120.27447659210775,63.91348950614949,110.88668988792037,92.91085296986058
60.0,30,698.158071839553,96.83892633387421,152.51062841410425,148.3590924863162,79.04149658132721,123.20233798727432,98.20559003665686
60.0,35,798.3768753549999,102.41979128202922,167.93096672033155,180.68947206021383,91.71491670932954,134.52914816876316,121.09258041433267
60.0,40,825.1908664202635,120.13162677207269,184.26634089801743,177.39980817414312,91.03619532012284,128.7643058888098,123.59258936709776
