BASE LON,BASE LAT,STORAGE[GWh],2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
155,20,240.0,143.6110486476205,244.5414044874794,236.7514898568445,119.89667385486872,197.7028632244406,171.8390194203037
150,20,240.0,144.96368636374763,245.24578690600129,236.54893938745744,121.0979902116521,197.56969637305326,173.50374930498953
145,20,240.0,145.41535878590204,245.47836061706556,235.28478925584707,121.4125105674103,196.65818944321964,174.2228652105119
140,20,240.0,145.1492004954364,244.98646977591108,232.55439151095533,121.47796357800902,193.60461269118565,174.21514817456392
135,20,240.0,145.19737553532136,243.72673838597765,228.32791919138134,121.48154757033667,192.50174371196738,173.4576873498479
130,20,240.0,144.74860822380947,241.44942374169287,223.44179732072385,121.5047648821626,192.31384105480475,171.95710142344754
125,20,240.0,140.53897105028997,237.7744455875397,218.33081396490843,121.50983882136282,191.16596230744514,169.221729455156
155,25,240.0,142.61442655085534,243.75513249988316,236.4213651564417,119.32922834573597,203.05666190743577,171.41426732133576
150,25,240.0,144.49362733996594,244.67858412188477,236.90659799708752,120.59811576454307,198.4697880791329,173.10103737238634
145,25,240.0,145.3339017453736,244.87349878781583,235.60242338966833,121.22563606250678,197.78886870683382,173.65680921941174
140,25,240.0,145.51993002274355,244.0521005771638,232.8256159832844,121.43771766698804,196.66095529683784,173.5266655485525
135,25,240.0,144.9862225546823,242.2840512663646,228.81413908229698,121.5147148268206,203.07590115172283,172.62043302723814
130,25,240.0,143.9557394232368,239.57596880689016,223.12078270745835,121.5082845018627,202.07808883818424,171.17325144409216
155,30,240.0,140.53440131901326,241.58655034962848,234.86347266550752,118.22246071828698,199.89610913404874,170.00123875760136
150,30,240.0,142.66432407160536,242.43734781557995,235.74597703659197,119.70038000962329,200.46130126984662,171.91912841680346
145,30,240.0,144.2834389641364,242.41436099325898,234.71200719758744,120.52893336763651,200.9028103666671,172.53056415852583
140,30,240.0,144.81112494399554,241.48064937326478,231.9476508825577,120.90913578028876,201.11484891460447,172.25970336786474
135,30,240.0,144.49304868533847,239.5902861575045,228.40578325411786,121.00908022989121,199.0628072304974,171.44033654117553
155,20,250.0,142.96915381291058,256.9156145887846,245.78256886745672,118.64559059370941,200.48983343730862,168.31075273289107
150,20,250.0,144.35719530409435,258.7079042747984,245.59241789417788,119.87891407433182,200.71062605232385,170.01996736436934
145,20,250.0,144.8210292145152,269.42720647686025,244.31174432510326,120.20122528954934,200.66669540748148,170.75844579728604
140,20,250.0,144.54770448933328,270.6652890449475,241.5616923466959,120.26844065264372,200.8894286185387,170.75052097658627
135,20,250.0,144.57932340347662,270.3689406544497,237.29277984812913,120.27212114561765,199.93680001212533,169.9726651698429
130,20,250.0,144.10063739965992,268.39811185165286,232.34645643010217,120.29596359427171,199.82732876113454,168.43167527534186
125,20,250.0,139.83155245967205,264.7163385210714,228.54757681045194,120.30117415162486,198.7016035515907,165.62299102840365
155,25,250.0,141.9460360796572,255.86443330620895,245.4086336441563,118.0628663525517,196.45611889265487,167.87490286085765
150,25,250.0,143.8751574704863,256.9108504558361,245.906610565155,119.36558027720491,198.83118583696276,169.6070899734286
145,25,250.0,144.7373789056046,265.4444228185978,244.58481700737659,120.00965797550363,199.16024718137467,170.17748736065894
140,25,250.0,144.9284160801343,268.08244148343186,241.78676689285425,120.22744997499224,200.03663296857562,170.04350063835864
135,25,250.0,144.38065933002176,266.7275287123265,237.73862082824445,120.30618144577828,198.35789333482447,169.11286738847627
130,25,250.0,143.3224478004547,264.92589219921996,231.98114533479176,120.29991685443956,197.41500092974985,167.6267197738005
155,30,250.0,139.81000520919255,252.7151897715111,243.79103009566276,116.92629849632033,190.84839106870695,166.42416672447567
150,30,250.0,141.99727711416492,252.91896948339814,244.6973319747784,118.4436725730708,194.3498755510321,168.39335757415003
145,30,250.0,143.65964854878814,258.1600807093945,243.6355041855923,119.29453511235643,195.54009102466884,169.02091763211288
140,30,250.0,144.20154271701043,262.36880049116996,240.84954483220721,119.68463577722495,196.15643568701694,168.7431026628332
135,30,250.0,143.87490210840028,261.5720359242906,237.26579922547262,119.78727127722482,194.33790121767328,167.9013351333799
155,20,260.0,142.33576340072165,267.78734918333276,242.2437887217336,117.99932369444755,199.51723229974,167.81792980768853
150,20,260.0,143.7587396046708,267.8289140329576,235.11012982110788,119.26423023862671,200.1309982200772,169.5710398104697
145,20,260.0,144.23457387659855,267.3788290200769,244.4796859947037,119.5942290927181,200.08558824310074,170.3286242379265
140,20,260.0,143.95417766432337,266.83306487662026,243.8912016091031,119.66318345901561,200.3140497567112,170.32049438540145
135,20,260.0,143.96945980374798,263.9360168311992,234.2614257128843,119.66695917410507,199.33711739281864,169.52251380840866
130,20,260.0,143.46125149841654,267.43997736107957,235.45742920416185,119.69141847719051,199.20807037141302,167.94165525532748
125,20,260.0,139.13350641151513,261.8225751511661,233.78715738146917,119.69676384265166,197.61679472185992,165.06063003930902
155,25,260.0,141.28650106992828,267.58949194305995,242.03337364053712,117.40152314818235,195.76763476289875,167.3711291962563
150,25,260.0,143.2648816677013,267.86155813036686,236.34997825655043,118.7376154135266,198.2039440459468,169.1481316426814
145,25,260.0,144.14875935777457,267.37204183519407,242.2201261297757,119.39803114425042,198.5416045897673,169.7329607972948
140,25,260.0,144.3447390669144,266.47868358593644,237.05150374083922,119.62145788209784,199.4228925462417,169.5951819398897
135,25,260.0,143.78311374548048,265.25473041675485,235.94149331768938,119.7019006860654,197.70104599365186,168.64047124509014
130,25,260.0,142.6975466168037,263.04400562956766,234.21299496034754,119.69579963255202,196.73473582150677,167.11587385727788
155,30,260.0,139.09520657587015,267.2546953704213,224.33935059193067,116.23554988444316,193.38891898814606,165.88318507238114
150,30,260.0,141.33906781806812,266.7863759118608,229.63973033036785,117.7918560127463,193.60775534812808,167.90299742642333
145,30,260.0,143.0441226916974,266.0669171651403,232.3447745043946,118.66473216042641,194.81109525301594,168.54646817061942
140,30,260.0,143.6000368049281,265.0561697338247,231.8898991081647,119.06459993621746,195.44360884157987,168.26179115817712
135,30,260.0,143.2649453148751,263.70706845559386,231.03566299403616,119.1698908330647,193.57817928931757,167.3979197113999
155,20,270.0,141.71044213779243,271.05731263960485,228.6825896519055,117.36129173693207,199.32906372940045,167.33138659151172
150,20,270.0,143.16790962122954,271.7786235756784,230.31039856197094,118.65737890306242,199.5587561930429,169.1278326365847
145,20,270.0,143.65559134217855,271.9962248381561,238.36829795879544,118.99496743764799,199.51188573406057,169.90427960382294
140,20,270.0,143.36821374998462,271.43718547266207,241.40665187736982,119.06563864820767,199.7460025583414,169.89594733205442
135,20,270.0,143.36736728315518,270.0530753410984,242.60837450071162,119.06950837206168,198.745076123304,169.07809842114028
130,20,270.0,142.83001285901835,267.5736559904733,227.63748042813052,119.09457666941991,198.59670277227832,167.45787922881482
125,20,270.0,138.4443550917582,263.58699950288906,227.04622754757654,119.10005512522059,197.41374599362464,164.5054348357295
155,25,270.0,140.63537006849845,270.1757684252846,228.4510697065512,116.74860699271271,196.1450290552596,166.87377477854207
150,25,270.0,142.66238219647667,271.13381456139416,226.1745396572274,118.11765228114083,197.58469477259771,168.69502150735016
145,25,270.0,143.5676401905035,271.31131613059887,235.2748961934305,118.79419785979907,197.93084494204814,169.29409853510126
140,25,270.0,143.76849945487973,270.3957148086157,238.46556092470465,119.02318753634762,198.81696901469056,169.15257586320277
135,25,270.0,143.19317101033036,268.4623947134971,240.37697003815606,119.10531986713609,197.0525684136367,168.1740945260725
130,25,270.0,142.08060812604384,265.5177340965977,227.35158276814903,119.09938026759619,196.0631388711793,166.61153730456257
155,30,270.0,138.3895161378035,267.79689823959365,228.30229368069405,115.55360301467395,192.6507240114625,165.3490967833784
150,30,270.0,140.68924563759876,268.67470366272204,227.78004960296693,117.14834510974345,193.4146178647471,167.41888560621558
145,30,270.0,142.43644006405614,268.6162242520585,231.19358502262253,118.04295436130361,194.0913885811447,168.07806429753754
140,30,270.0,143.0061954756238,267.5803109607527,235.79437538583724,118.45246479233248,194.73986506623984,167.78661268030487
135,30,270.0,142.66276078799115,265.51622943649414,226.79504354741977,118.56037725010205,192.82813798336502,166.90091897146374
155,20,280.0,141.0927812261048,270.6179234343152,236.82064364872798,116.73109037006836,198.7594777232482,166.85081473886208
150,20,280.0,142.58433091680445,271.3563746507679,236.76541172396287,118.05797547718245,198.99353731432376,168.69006496132008
145,20,280.0,143.08371468257906,271.57919730994405,237.17809154988885,118.40306054382279,198.94522429788717,169.48514296766646
140,20,280.0,142.78944139320953,271.00704564972114,236.95999029577982,118.47542752774925,199.1849270249939,169.47661076095363
135,20,280.0,142.77266426712828,269.59002544411044,236.7590735505858,118.47939010659466,198.16030042403426,168.63913736094142
130,20,280.0,142.20652143561853,267.0514138008748,236.00313546016295,118.50505992401565,197.99283851110374,166.9800406040046
125,20,280.0,137.76366175254378,262.9690964941167,234.68761195806854,118.51066983673297,196.78179838339898,163.95705356414794
155,25,280.0,139.99223042278808,269.71536058490904,236.56827786002202,116.10370410222637,195.4991049188351,166.38252441064563
150,25,280.0,142.06727722433868,270.69669727220645,236.62056138090182,117.50529798002398,196.97304556929825,168.24747241006432
145,25,280.0,142.9936531210298,270.8787600305623,236.91411342688318,118.19777544437515,197.3275811708781,168.86062244626046
140,25,280.0,143.19933205367408,269.9411886259371,236.3409410002634,118.43225978546509,198.2184695693423,168.71540190784717
135,25,280.0,142.61046866496406,267.96147803176234,235.95644260452173,118.51606090744707,196.41204962379834,167.71344166639003
130,25,280.0,141.47124134501044,264.9461595471287,235.01618870711934,118.51028078034986,195.39978445594596,166.11339049367527
155,30,280.0,137.69248666551178,267.28031479819714,235.7058485553821,114.88002570495655,191.92158893000132,164.82156338040264
150,30,280.0,140.04739874963903,268.1791833819247,235.86526200766704,116.51273204070019,192.70392386846154,166.94071530891918
145,30,280.0,141.83621554857876,268.1193007431811,235.64078774351677,117.42880766492411,193.3805148968228,167.61540916313032
140,30,280.0,142.41964238369874,267.05853045344867,235.70919531333195,117.84784240651366,194.0447583652086,167.3172660860913
135,30,280.0,142.06796689486987,264.94492077694844,235.12458964225632,117.95834425068797,192.08730196308767,166.41001794064445
155,20,290.0,140.4824316283277,270.18372097408263,243.96786732133188,116.10834875973582,198.19663396354736,166.37593146323715
150,20,290.0,142.00766009179793,270.93911808271093,244.58909473257404,117.46566724952974,198.43500898793243,168.25747918575672
145,20,290.0,142.51860738412466,271.1671003323911,244.33330071311065,117.81816011102612,198.38527048973828,169.0709676937403
140,20,290.0,142.21752002263585,270.5819915889819,243.43270235853677,117.89220279528062,198.6304929987812,169.062237918733
135,20,290.0,142.18500081010765,269.13245086915805,241.87165673943218,117.89625712998362,197.58243198968003,168.20537232666044
130,20,290.0,141.59041034247878,266.55456917005154,239.74273792747695,117.9225213472143,197.39612225150944,166.50785820272816
125,20,290.0,137.09102584838092,262.3585018191325,236.37887617256956,117.92826116077964,196.1573312001616,163.41516353645662
155,25,290.0,139.35670368530796,269.260396792281,243.03250244360447,115.46643499167493,194.86082665093554,165.89708902242555
150,25,290.0,141.4792165692016,270.26474833818537,243.7634434572317,116.90019217793828,196.36863651871667,167.8052209961493
145,25,290.0,142.4264603938337,270.4513182944408,243.38576318359824,117.60841294065996,196.73145829322817,168.43227745718372
140,25,290.0,142.6369019438513,269.4920368692364,242.12158034642553,117.84832690539824,197.6270546217134,168.283402824271
135,25,290.0,142.03465531218202,267.4664849049768,240.37270213504053,117.9337770649257,195.77911271885753,167.25824160062274
130,25,290.0,140.86908769943452,264.3813449368473,238.05519957454652,117.92815452257996,194.74428223318907,165.62114029634893
155,30,290.0,137.00370800071067,266.76984036074884,240.79462655036244,114.21442159713878,191.20108469333357,164.30027444301388
150,30,290.0,139.41314946740695,267.6895227783396,241.635469579353,115.88464278704737,192.00164242800207,166.4682051611969
145,30,290.0,141.24309595064818,267.6282535216669,241.40579748080827,116.82193068433749,192.6780558953123,167.15823052376425
140,30,290.0,141.84003237931424,266.5429204682812,240.1197296865418,117.2503769962723,193.3578797116325,166.8534751943971
135,30,290.0,141.48021363647612,264.38036890922484,238.16611059747092,117.36343757602582,191.3552352927854,165.92492775436358
155,20,300.0,139.87905898251734,269.75448191469434,243.17545387297156,115.49272575539365,197.64022411302014,165.90647661390418
150,20,300.0,141.43758123418417,270.5266312057354,243.81057990689794,116.88012974159062,197.88286524067328,167.82983833059401
145,20,300.0,141.95995986952488,270.75971406625416,243.54878147262676,117.23994571888517,197.8317175555103,168.66152688839162
140,20,300.0,141.6521363280855,270.16179635304707,242.62831574904874,117.31564494841176,198.0823967494486,168.6526018035079
135,20,300.0,141.60405497807966,268.6885284887378,241.03234510303736,117.31978999010428,197.0111692126806,167.77656569297486
130,20,300.0,140.98134206139082,266.04483220016715,238.85579632698628,117.34664181251587,196.80622710017198,166.04107335384666
125,20,300.0,136.42607889561825,261.754886897611,235.43149519521302,117.35251004202293,195.54000234806773,162.87946789425882
155,25,300.0,138.72844170156424,268.8106337248429,242.219725375952,114.83645055205695,194.22984458972275,165.41720268248682
