"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,20,140.2141852676621,239.89324243105673,214.05148569630663,126.76008966544266,202.09192481761585,159.27588389786354
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,20,142.65055756364995,238.76640341644475,234.65455608771285,124.83937123036927,218.3706073161044,170.98785966109233
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,20,143.0975333694108,239.60292814653448,249.61674383548635,125.80387919045721,216.8633959191893,172.9549984014992
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,20,143.8825525181315,238.28680413316525,251.04100305086448,123.55774892414887,215.72492764957008,173.3137368805304
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,20,147.9662729785637,234.9450169485155,241.9347170114691,130.1212969879096,210.93937521584164,174.94400081593284
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],130,20,152.69793832766172,231.22270856339543,244.39098233704405,129.80370315964547,206.1595335011114,176.47303882184767
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],125,20,149.27883478998478,224.72154629127365,231.3003991308212,125.05549415896243,205.45939886538366,174.3598728178728
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,25,139.76394677057746,241.19909004745816,213.50629825575413,129.30379477699188,209.76912474126684,163.3212549912793
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,25,143.09388387832075,243.18043743562734,238.0523351904723,128.20955254603757,207.84005376472598,171.13505017286755
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,25,141.5015357856676,243.42985900109022,250.93806549421566,126.64705455921764,202.48051664285964,171.4511765113649
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,25,147.23707481161622,241.96040853501077,251.37890499032991,124.91477837627872,215.5170201393,173.15144888450274
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,25,154.16309823357437,240.1358338764078,242.66347682438226,121.91460666444694,212.57494499407957,176.59509552110347
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],130,25,152.74738532149877,232.70928479809402,238.43484258557766,130.0888448658337,204.10372493824264,175.25421645497582
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,30,139.7110082696956,235.2123422536826,212.43075399418348,130.63478125695252,209.66221445718685,163.80293830724855
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,30,142.12322721373377,254.9021159471284,233.4696343928449,129.0364985549868,210.67185156772265,170.07488602626742
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,30,144.16932024104116,249.37116918385948,248.39652214835218,126.90903494487168,208.14817666034878,171.09484852219222
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,30,148.72179681521766,247.76076293935185,248.2775659557631,124.6309550047149,200.88196050450892,171.6048765612783
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,30,153.51312552578688,240.1184155977428,246.04081997583248,122.40973388908075,210.4062950138935,172.39093845121255
