"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,20,140.2141852676621,257.94469154280705,226.10184060360186,125.8690318733579,197.9735264325147,157.2727142728284
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,20,142.65055756364995,265.6850263530066,245.05789537544598,129.71371221872323,197.54644966378774,168.2431351215333
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,20,143.0975333694108,267.01060796818456,254.00050689850042,129.83954613885206,196.04473130177905,173.45015362984876
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,20,144.00499686618213,268.2343798181915,248.6186202485744,130.24362804255227,198.91925920829308,175.83002556619914
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,20,148.0406974627151,264.9113350852829,242.59364657778784,130.43134936309826,199.09906590243259,171.38755128422855
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],130,20,152.7649930550346,248.2103550625614,238.7125768356281,130.45311589091327,197.09107962626703,171.92027979388914
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],125,20,149.41357674142452,243.53140391061334,234.3714353999565,125.96462543019591,196.2903134183606,168.23322233647403
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,25,139.76394677057746,253.66252692135046,235.11969298463126,129.00432671130852,199.17427995306133,156.65981116430314
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,25,143.09388387832075,269.4389024170142,231.96062566334365,127.72389753363595,204.06541823036878,163.3922861622142
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,25,141.5015357856676,270.6132974114255,241.29683853212785,125.67240625082489,204.62190808249395,169.94523678916022
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,25,147.23707481161622,270.7004624529372,240.16152184517773,126.39016507122095,203.71830878529556,172.3183420538731
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,25,154.16309823357437,269.2845254029385,240.36796906029159,122.05460183733013,199.8265692208592,174.60586408904405
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],130,25,152.75284619914592,263.6855040896512,237.67878049523645,130.17276054688534,199.25786164752574,168.53263961390812
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,30,139.7110082696956,255.49179750569004,216.5776895237345,130.30580658428988,200.3162522661784,154.2954527443414
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,30,142.12322721373377,255.15972886247386,223.3849526251417,128.5273813494225,205.75708858886577,157.9140829870847
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,30,144.17552515377926,271.8030262379094,236.1010545876691,126.31073137243152,205.29412826879624,166.10613686350612
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,30,148.72179681521766,270.82958663913547,237.1120310761767,130.2845020349239,203.1762854388207,168.60428259820944
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,30,153.51312552578688,268.1009855895615,235.71770744473656,124.7067219854018,200.3350181527059,169.86750352122468
