STORAGE[GWh],2017 POWER GENERATION[GWh],2018 POWER GENERATION[GWh],2019 POWER GENERATION[GWh],2020 POWER GENERATION[GWh],2021 POWER GENERATION[GWh],2022 POWER GENERATION[GWh]
10.0,88.8890287527266,135.54616344855862,122.4217233573826,61.644574613575486,110.06458443770968,102.98097305486903
15.0,99.36147880800567,161.80109852726181,152.39295531068015,81.0255211067319,155.86569245672092,116.8570902155202
20.0,109.0195827034855,200.40881556843334,174.1331370750599,98.09542837799557,173.340193272311,129.97545393012368
25.0,122.69142985254766,213.54274853931403,189.21574983199864,113.29995112326584,178.6927556278821,145.56912000132934
30.0,135.97942433441128,224.08197837480404,200.05033058451298,112.14834062480234,186.7210581376849,152.7478902299461
35.0,126.41131325565397,227.69060994529232,218.12052325520068,110.86996047782425,192.16386901910758,158.57310824013902
40.0,137.3182403913671,243.44030771808085,205.46223798453127,118.57822241470586,194.82065948968852,152.23304099277362
45.0,143.6397632585155,249.70626668143268,215.9879904897409,124.04761460409675,202.12987896402308,155.8498108002883
50.0,144.36562667763565,248.47033130755125,213.05530424091663,126.23343489911738,199.90994510449926,151.3449157234575
55.0,138.30402721480917,238.38725086114303,223.574019334149,136.63089161903503,203.3531509010354,154.72901149173876
60.0,141.64741142435594,246.41534628307048,228.8451695717673,138.89252662704445,198.61863232660485,152.10522145430494
65.0,141.47028063765626,246.57349380654514,217.5815490140157,128.26908386187822,198.10819864358112,153.90502656231894
70.0,131.8832687315188,237.51981223792586,228.72792996333447,127.85027665340097,197.61070134969071,154.37230481025577
75.0,143.97744759475145,241.61626485110733,240.20997816225986,127.62872022605517,197.12492082901883,158.0371751483645
80.0,145.86164822401406,244.59731542443086,232.7241473320951,127.15379735921557,196.6498255111149,162.5082221716191
85.0,151.86508653022244,261.04389898445714,240.47600202620666,126.64968804021282,196.18453299812757,165.8197408127935
90.0,142.54217952107433,266.98152055509735,248.3052498380417,126.26560230915159,195.7282810331252,161.75333650754988
95.0,141.2061295222128,257.94222716307195,249.31572301179727,125.88856801923808,195.280405411266,162.5405204764567
100.0,133.82781038550593,256.28062344417765,251.44292187719154,125.51809418591735,194.9997943013237,163.82564315483717
105.0,148.9587426679825,255.90394725461053,253.0522099113615,125.1537467016895,200.34856665622394,167.72216157819847
110.0,153.21641467935189,255.5332054473459,254.09143538679376,124.79513936595589,199.94202972186417,171.43669404572668
115.0,142.47505235651312,255.168040823852,247.8950121331341,124.44192667138158,199.54160844845256,175.01587153437913
120.0,135.76592547372073,254.80813219520954,245.0716064891866,124.09379794164032,199.14695063627468,175.3221579920164
125.0,139.4185582343362,254.45318940974636,247.40077322164208,123.75047252179644,198.75773811951015,173.74118498423465
130.0,139.00704649542317,254.1029492379438,250.7853783295438,123.41169579789877,198.3736822538262,173.39385535707743
135.0,138.60077837211506,253.75717193963092,251.68782958710767,123.07723587653192,197.99451668167134,173.05095151630923
140.0,138.1994963930447,253.41563837934387,245.09683405088197,122.74688079459014,194.12607335379883,173.59063640173156
145.0,137.80296442884517,253.07814758592616,242.8740713495367,122.42043615875286,193.76711926737065,173.7655892580931
150.0,137.41096525122825,252.74451467504565,246.37575862585302,121.28339854238139,193.41226841198971,173.46540013797167
155.0,137.0232984430014,252.41456907039733,246.96031438113116,120.9044250282194,193.06133936326472,173.16852870377798
160.0,137.97848673650387,248.26850149758667,237.84738323902013,120.5295054839565,192.2422635934271,172.87483297398876
165.0,137.62591432193298,247.90914109551457,238.30936668708557,120.1584718155949,191.88919845244052,172.58418127104792
170.0,137.2768859484955,252.10155939896427,241.83204833488904,119.79116776001126,191.5396823054499,172.29645118519375
175.0,136.9312632729564,251.7849651174551,246.02153769381223,119.42744773009822,191.19357661588282,172.01152866979308
180.0,136.58891713481142,251.47137218127295,242.47037868869575,119.06717580230159,190.85075204273102,171.72930724822166
185.0,136.24972670954352,251.16066991379307,241.97591224263712,118.71022482553995,190.51108409572828,171.44968731583032
190.0,135.91357876065905,250.85275458910593,241.48588107060883,118.35647563407628,190.17445476903455,171.17257552334289
195.0,135.58036697669144,250.54752882470532,241.00013019343362,118.00581634980612,189.8407658119677,170.8978842302988
200.0,135.24999138159538,250.2449010414025,240.51851386761126,117.65814176177905,189.50991710531255,170.62553101899712
205.0,134.92235780878073,249.94478498153538,240.0408948185736,117.3133527726921,189.1818143476285,170.3554382609035
210.0,134.59737743053702,249.64709927791608,239.56714355468682,116.97135590367422,188.85636858400002,170.0875327287198
215.0,134.27496633583854,249.3517670670956,239.09713775178272,116.63206284998462,188.5334957832375,169.82174524833735
220.0,133.95504515054995,249.05871564146793,238.63076169950006,120.79316133361759,188.21311614833942,169.5580103857442
225.0,133.63753869490955,248.76787613552057,238.1679058019694,120.4571014318498,198.0173653642418,169.2962661646629
230.0,133.32237567388637,248.47918324219856,247.49585317052032,120.12352190297928,197.6852039654761,169.03645381128902
235.0,133.00948839661208,248.1925749559005,247.05627781907089,115.30032246810202,197.35544105313312,168.77851752299773
240.0,132.69881252159823,247.907992339095,246.6198092667674,114.97337910891113,197.02800881545386,168.52240425830766
245.0,132.39028682488288,247.62537930994017,246.1863615000627,114.64869851478285,196.7028427263504,168.26806354574657
250.0,132.08385298861847,247.34468244862782,245.75585258820996,114.32621931425412,196.37988132259093,166.0371512164842
255.0,131.7794554079267,246.40849334573113,245.3282044119127,114.00588299088649,196.05906600023732,165.76053863352467
260.0,131.47704101411557,246.1314160521961,244.90334241496308,113.68763369722676,197.8578351744502,165.48572821484098
265.0,131.17655911258612,245.85610934148428,244.4811953765163,113.37141808422582,197.54300549974866,165.21267389316816
270.0,130.87796123395336,245.58252880510761,244.06169520193103,113.05718514456446,197.23014794655705,164.94133162334091
275.0,130.58120099708114,245.3106299636249,243.75686904517687,112.74488606851628,196.91920964933908,164.67165925783016
280.0,130.45116160415245,245.04036823560128,243.38068670766094,112.43447411113569,190.73847886913532,164.40361643205918
285.0,130.28004690343192,244.7717105291934,242.9867342121251,112.12590446969477,190.4552880416836,164.1371644585691
290.0,129.9918157680408,244.50461942906367,242.5813894413509,111.81913417041301,190.17374856655715,163.87226622920966
295.0,129.7052364776862,244.2390590209858,242.1761339087574,111.5141219636272,189.89382258673874,163.60987242143815
300.0,129.42027180420507,243.9749948072605,241.7731616270582,111.21082822664104,189.61547373836544,163.3491066232897
305.0,129.13688596337414,243.712393628224,241.37242199331385,110.90921487357298,189.33866706799117,163.0892724104142
310.0,128.85504453620806,243.45122358931832,240.97386633518596,110.60924527159223,189.06336895571218,162.83070257661848
