BASE LON,BASE LAT,STORAGE[GWh],2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
155,20,10.0,81.92550924725205,134.3602918924555,116.64702342272261,56.32035283371979,110.10769145971489,93.9264895047911
150,20,10.0,81.70625754871293,136.17871262882213,141.36105062273202,59.18281678265475,122.58019266643237,102.37699668736973
145,20,10.0,84.62720205169167,152.06415683213424,150.5028435800516,73.48831501222311,139.5270145160971,106.36299829770793
140,20,10.0,87.82318401668729,156.47117758044072,158.78731689446033,87.89610252267514,146.1641211818902,107.04003976554212
135,20,10.0,90.11730048428221,170.62617229793082,156.0003207993478,93.36665428001471,132.9368417496723,104.67816420249993
130,20,10.0,89.29433382692662,159.0124654823381,152.53701555429566,93.58323938642866,126.0066500716166,97.34706722583186
125,20,10.0,75.64149410948669,137.45613994040508,132.56063863332176,85.19458493846808,120.08626888940897,102.11776298925358
155,25,10.0,81.89288040965037,132.45863042790933,115.6497035690866,58.75435819089273,101.70399565405893,102.31967930245605
150,25,10.0,93.34368795249836,136.3094777299817,126.8577012352833,67.55488636313065,112.53457715944664,102.73682218522218
145,25,10.0,93.14792673599266,149.15735438937762,145.39379095009966,68.8351368380786,123.88263886444518,102.77900159301757
140,25,10.0,84.78326379553472,161.38414363445898,145.17401939628408,83.45787852486328,137.85362092291854,111.65285879850259
135,25,10.0,84.25335118884634,152.3595300921433,143.12195937779612,87.72650411018611,135.3476127894311,111.31132082470054
130,25,10.0,84.20630788238866,143.5580847117985,139.5252514417264,93.19901592279555,124.14663569315891,102.38789131172165
155,30,10.0,75.7470167782066,115.05052744603402,114.5532573660495,55.393181093364504,100.84315897144857,98.7007072656149
150,30,10.0,89.73539514157001,134.03076692449704,114.37957423160044,66.76390592872178,113.95883480160923,102.35896223937698
145,30,10.0,92.66150612924017,144.54922372615948,137.01195284896917,65.99054898689982,119.03623163425857,114.23588271232543
140,30,10.0,84.66205953822652,151.07483583202222,138.91729545648775,79.7703967606982,124.58229641234158,111.47934312429055
135,30,10.0,84.656569224641,151.69622476990273,139.42036093670816,83.72945419599272,118.12591633145085,110.5610714805632
155,20,20.0,104.82579161563362,177.81381305012374,171.69434609599494,105.75715320144707,157.23083415770466,121.49690871619869
150,20,20.0,110.073039670388,203.10340151186244,193.31607098056114,110.94568219031447,169.92707795844223,131.33431151558045
145,20,20.0,112.87363148375428,222.08843706144324,198.42565892456182,103.00397219767007,171.97083026466228,133.49853007865926
140,20,20.0,115.46458981951027,230.41054728565408,199.77846818541238,105.00986643716618,173.20274486727064,138.4539089975752
135,20,20.0,123.58922430854439,235.09618220455067,197.23576870380535,110.29324006684591,175.55761377048606,137.91384230482598
130,20,20.0,119.88448894598044,230.74100280872818,194.32203682463143,112.80473064420252,171.93098899146386,137.27510298878028
125,20,20.0,113.51912033939426,205.93939517587793,175.5255231900992,111.72166756693689,169.994158472955,137.0757755722289
155,25,20.0,109.09199913952958,192.53424664942767,171.53683847484,97.92239818832302,159.48542457737125,127.6389653992587
150,25,20.0,119.92961608664383,204.53242576171988,193.50839357806845,97.93143435887893,174.21737492384392,133.80687018519143
145,25,20.0,126.39349100374096,209.79069692537524,192.90625879191214,105.82472666125351,172.98614616019952,134.03972369761163
140,25,20.0,115.96696099667034,222.0492889432608,185.55911194162354,107.10727091823487,170.16615405484495,138.58174385776874
135,25,20.0,127.72125196735516,227.22680020268444,185.38446215057925,105.52239168462047,182.55088364576676,137.4478212550365
130,25,20.0,127.61922296564319,224.3268625457385,175.95973011822872,104.7326067285301,169.17707410202362,137.03238185712536
155,30,20.0,108.5118862066553,184.69600736356574,159.3433464978591,97.54721593695346,161.95594973492686,127.69642189484576
150,30,20.0,118.61640020326445,202.7244836116628,180.6104192266035,104.07562329568262,174.98509845853894,134.94766446613056
145,30,20.0,122.15419897116536,207.8202269157474,185.08041233442776,109.00003653361838,161.4004491139119,131.49227869943925
140,30,20.0,118.44352883866446,209.63646143492554,187.12538047577345,111.0751534410419,166.27825359950498,132.10543300494157
135,30,20.0,112.30088290041196,210.51202355105485,182.40952420861672,111.00714517195091,165.75536108228738,134.94023319548288
155,20,30.0,126.40940515229923,229.24390605495697,199.97079671078305,102.12852862326375,173.9342756277455,144.11479130313379
150,20,30.0,127.46486250422048,236.79249452119242,200.40124355660373,113.44387348278967,201.03469967428302,148.33121280526586
145,20,30.0,121.27657344490976,247.3994590568902,222.89720819102783,116.80120432033782,189.655522204692,163.40099503537277
140,20,30.0,124.09032075588709,248.95125561425948,226.09385046779116,116.6373507942202,176.17942659225872,153.0280789269556
135,20,30.0,130.7284167349084,251.16964626845868,226.9756566243142,114.66175197316568,172.61650806567548,157.6220074916524
130,20,30.0,128.12581261496572,230.76827371724076,210.13115778761093,106.41723394191982,194.05978224036474,152.10217064757222
125,20,30.0,125.62970086009166,220.6966672485327,203.98577631991512,108.60715158289509,197.53941121601557,146.94794991308814
155,25,30.0,135.63063603671878,227.01380886092386,199.11132809217656,103.03550361636279,179.33372396211982,142.05622152465511
150,25,30.0,136.90330091419472,235.34222028587448,200.18817049111587,115.74281229001724,188.4520413546452,154.95548482681707
145,25,30.0,137.27244907760976,246.55259123498158,223.56238724088374,119.99722130023983,177.5937180236946,161.20744633259037
140,25,30.0,138.44147709041633,247.39308386640133,221.2165829457134,123.48148919768553,183.3479950306331,163.0674655496225
135,25,30.0,135.12548961740413,248.52666945612438,220.72711544807882,121.97078904661848,178.20536318496286,163.03935438147417
130,25,30.0,128.35851413779432,240.0369785924748,204.36364546674776,113.06608917795349,172.50661361925737,147.67438191622435
